uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
378022	1	SIL34_02_26_0044	40	6400	tellinella	0	Cyrena	0			A. E. Férussac in G. P. Deshayes in A. E. Férussac	H. N. g. et p. Moll., wrapper of livr. 19, 1822	G. P. Deshayes in A. E. Férussac		H. N. gen. et part. Moll.			wrapper of livr. 19, 1822		[<em>n. et f.</em>]						H N g et p Moll				1	1	tellinella Cyrena, A. E. Férussac in G. P. Deshayes in A. E. Férussac, H. N. g. et p. Moll., wrapper of livr. 19, 1822 [<em>n. et f.</em>]	0	70	0		0
378261	1	SIL34_02_26_0050	27	6406	tenebraria	0	Pentatoma	0			Palisot de B.	Ins. Afr. Amér. (—) 1807, 46			Ins. Afr. Amér.	(—)		1807	46							Ins Afr Amér				0	1	tenebraria Pentatoma, Palisot de B., Ins. Afr. Amér. (—) 1807, 46.	0	70	0		0
378314	1	SIL34_02_26_0051	29	6407	tenebrioides	0	Helops	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 121			Ins. Afr. Amér.	(—)		1813	121							Ins Afr Amér				0	1	tenebrioides Helops, Palisot de B., Ins. Afr. Amér. (—) 1813, 121.	0	70	0		0
378671	1	SIL34_02_26_0058	21	6414	tenorii	0	Asterias	0			S. d. Chiaje	Mem. An. s. vert. Napoli, II (—) 1827, 359			Mem. An. s. vert. Napoli, II	(—)		1827	359							Mem An s vert Napoli				0	1	tenorii Asterias, S. d. Chiaje, Mem. An. s. vert. Napoli, II (—) 1827, 359.	0	70	0		0
378731	1	SIL34_02_26_0059	29	6415	Tenthera	0		0			G. R. Gray	Gen. Birds, I. 1847, 289, f.n.			Gen. Birds, I.			1847	289, f.n.							Gen Birds	[ = Tenthaca, Hodgs.]			0	11	Tenthera G. R. Gray, Gen. Birds, I. 1847, 289, f.n. [ = Tenthaca, Hodgs.].	0	60	0		0
378882	1	SIL34_02_26_0063	28	6419	tenuipes	0	Amnicola	0			S. S. Haldeman	Mon. f.-w. univ. Moll. U. S., wrapper of (7) Jan. 1844, [4]			Mon. f.-w. univ. Moll. U. S.			wrapper of (7) Jan. 1844	[4]							Mon f-w univ Moll U S				1	1	tenuipes Amnicola, S. S. Haldeman, Mon. f.-w. univ. Moll. U. S., wrapper of (7) Jan. 1844, [4].	0	70	0		0
379206	1	SIL34_02_26_0069	32	6425	tenuis	0	Sphex	0			Palisot de B.	Ins. Afr. Amér. (—) 1807, 48			Ins. Afr. Amér.	(—)		1807	48							Ins Afr Amér				0	1	tenuis Sphex, Palisot de B., Ins. Afr. Amér. (—) 1807, 48.	0	70	0		0
379225	1	SIL34_02_26_0069	51	6425	tenuis	0	Truxalis	0			Palisot de B.	Ins. Afr. Amér. (—) 1806, 17			Ins. Afr. Amér.	(—)		1806	17							Ins Afr Amér				0	1	tenuis Truxalis, Palisot de B., Ins. Afr. Amér. (—) 1806, 17.	0	70	0		0
379583	1	SIL34_02_26_0076	47	6432	terebrale	0	Buccinum	0			J. P. S. de Grateloup	Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Buccins, pl. i			Atlas to Conch. foss. tert. Adour			1840-46 [<em>vero propius</em> 1847]	Buccins, pl. i							Atlas to Conch foss tert Adour		Nassa, 1834.		1	1	terebrale Buccinum, J. P. S. de Grateloup, Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Buccins, pl. i.—Nassa, 1834.	0	70	0		0
379738	1	SIL34_02_26_0080	40	6436	tergata	0	Cecidomyia	0			A. Fitch	Trans. N. York State Agric. Soc. V. 1845 [36] [1846]			Trans. N. York State Agric. Soc. V.			1845 [1846]	[36]							Trans N York State Agric Soc				0	1	tergata Cecidomyia, A. Fitch, Trans. N. York State Agric. Soc. V. 1845 [36] [1846].	0	70	0		0
