uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
6009	1	SIL34_01_01_0165	36	99	australis	0	Cerambyx	0			J. F. Gmelin	Linn. Syst. Nat., ed. 13, I. 1789, 1849.			Linn. Syst. Nat., ed. 13, I.			1789	1849							Linn Syst Nat				0	12	australis Cerambyx, J. F. Gmelin. Linn. Syst. Nat., ed. 13, I. 1789, 1849.	0	70	0		0
11365	1	SIL34_01_01_0257	43	191	centauroata	1	Geometra	0			J. Hübner	Europ. Schmett. (Geom.) [me judice 1796], fig. [240			Europ. Schmett. (Geom.)			[me judice 1796]	fig. [240	[<em>n. et f.</em>]						Europ Schmett				1	1	centauroata (<em>sic</em>) Geometra, J. Hübner, Europ. Schmett. (Geom.) [me judice 1796], fig. [240 [<em>n. et f.</em>].	0	70	0		0
15198	1	SIL34_01_01_0318	34	252	Cossus	0		0			J. C. Fabricius	Ent. Syst. III (1) 1793, caract. gen. ; & III (2) 1794, 1			Ent. Syst. III (1)			1793	caract. gen.			& III (2) 1794, 1				Ent Syst		Lep.		0	2	Cossus J. C. Fabricius, Ent. Syst. III (1) 1793, caract. gen. ; & III (2) 1794, 1.—Lep.	0	60	0		0
21565	1	SIL34_01_01_0437	38	371	flammeus	0	Limax	0			T. Martyn	Univ. Conch. IV [1792], fig. 122.			Univ. Conch. IV			1792	fig. 122							Univ Conch				0	12	flammeus Limax, T. Martyn. Univ. Conch. IV [1792], fig. 122.	0	70	0		0
22264	1	SIL34_01_01_0449	42	383	foetida	0	Phoca	0			O. Fabricius in O. F. Müller	Z. Dan. Prod. 1776, viii.	O. F. Müller		Z. Dan. Prod.			1776	viii.							Z Dan Prod	<em>v. et.</em> Skriv. Nat. Selsk. I (2) 1791, 74			1	2	foetida Phoca, O. Fabricius in O. F. Müller, Z. Dan. Prod. 1776, viii. ; <em>v. et.</em> Skriv. Nat. Selsk. I (2) 1791, 74.	0	70	0		0
31521	1	SIL34_01_01_0605	44	539	lineatum	0	Buccinum	0			T. Martyn	Univ. Conch. III [1789], fig. 84.			Univ. Conch. III			1789	fig. 84							Univ Conch				0	12	lineatum Buccinum, T. Martyn. Univ. Conch. III [1789], fig. 84.	0	70	0		0
31790	1	SIL34_01_01_0611	22	545	lithophaga	0	Venus	0			A. J. Retzius	Mém. Ac. Roy. Sci. [Turin], 1786-7 (1788), Corresp., [11			Mém. Ac. Roy. Sci. [Turin]			1786-7 (1788)	Corresp., 11							Mém Ac Roy Sci				1	1	lithophaga Venus, A. J. Retzius, Mém. Ac. Roy. Sci. [Turin], 1786-7 (1788), Corresp., [11.	0	70	0		0
61433	1	SIL34_01_01_1131	17	1065	vulpecula	0	Viverra	0			J. C. D. Schreber	S&#x000E4;gth. III. 440 (1777), pl. cxx (1776).			Sägth. III.			(1777)	440			pl. cxx (1776)				S&#x				0	12	vulpecula Viverra, J. C. D. Schreber Sägth. III. 440 (1777), pl. cxx (1776).	0	70	0		0
61985	1	SIL34_02_01_0139	47	5	abbreviata	0	Plagusia	0			J. E. Gray	Ill. Indian Zool. II (—) 1832-51 (pl. 94)			Ill. Indian Zool. II	(—)		1832-51	(pl. 94)							Ill Indian Zool				0	1	abbreviata Plagusia, J. E. Gray, Ill. Indian Zool. II (—) 1832-51 (pl. 94).	0	70	0		0
62025	1	SIL34_02_01_0140	35	6	abbreviatus	0	Truxalis	0			Palisot de B.	Ins. Afr. Amer. (—) 1806, 18			Ins. Afr. Amer.	(—)		1806	18							Ins Afr Amer				0	1	abbreviatus Truxalis, Palisot de B., Ins. Afr. Amer. (—) 1806, 18.	0	70	0		0
62924	1	SIL34_02_01_0158	5	24	Acanthocerus	0		0			Palisot de B.	Ins. Afr. Amer. (—) 1813-20, 204			Ins. Afr. Amer.	(—)		1813-20	204							Ins Afr Amer		Hem.		0	1	Acanthocerus Palisot de B., Ins. Afr. Amer. (—) 1813-20, 204.—Hem.	0	60	1		0
63243	1	SIL34_02_01_0164	7	30	Acerana	0		0			[Acarana on plate] J. E. Gray	Ill. Indian Zool. II (—) [1832-5] (pl. 98)			Ill. Indian Zool. II	(—)		[1832-5]	(pl. 98)							Ill Indian Zool		P.		0	1	Acerana [Acarana on plate] J. E. Gray, Ill. Indian Zool. II (—) [1832-5] (pl. 98).—P.	0	60	0		0
63344	1	SIL34_02_01_0166	1	32	acetabularis	0	Tricocephalus	0			S. d. Chiaje	Mem. An. s. vert. Napoli, II (—) 1827, 225			Mem. An. s. vert. Napoli, II	(—)		1827	225							Mem An s vert Napoli				0	1	acetabularis Tricocephalus, S. d. Chiaje, Mem. An. s. vert. Napoli, II (—) 1827, 225.	0	70	0		0
63411	1	SIL34_02_01_0167	17	33	Achatia	0		0			J. Huebner	Exot. Schmett., Tab. Achatia			Exot. Schmett. Tab. Achatia			[?date]		[<em>n. et f.</em>]						Exot Schmett		Lep.		0	1	Achatia J. Huebner, Exot. Schmett., Tab. Achatia [?date].—Lep. [<em>n. et f.</em>].	0	60	0		0
63436	1	SIL34_02_01_0167	42	33	achatinus	0	Dendromanes (Tsch.)	0			J. Gistl	Nat. Thierr. 1848, p. xi.&#x2014;Microhyla.			Nat. Thierr.			1848	p. xi							Nat Thierr		Microhyla.		0	12	achatinus Dendromanes (Tsch.), J. Gistl. Nat. Thierr. 1848, p. xi.—Microhyla.	0	70	0		0
63591	1	SIL34_02_01_0170	43	36	acicula	0	Turbo (Risso)	0			S. d. Chiaje	Mem. Ac. s. vert. Napoli, III (—) 1828, 224			Mem. Ac. s. vert. Napoli, III	(—)		1828	224							Mem Ac s vert Napoli		Rissoa.		0	1	acicula Turbo (Risso), S. d. Chiaje, Mem. Ac. s. vert. Napoli, III (—) 1828, 224.—Rissoa.	0	70	0		0
63624	1	SIL34_02_01_0171	27	37	aciculatus	0	Abraeus	0			J. Le Conte	Proc. Boston Soc. N. H. I (—) 184-, 187 ; Boston Journ. N. H. V (1) 1845, 84			Proc. Boston Soc. N. H. I	(—)		184-	187			Boston Journ. N. H. V (1) 1845, 84				Proc Boston Soc N H				0	2	aciculatus Abraeus, J. Le Conte, Proc. Boston Soc. N. H. I (—) 184-, 187 ; Boston Journ. N. H. V (1) 1845, 84.	0	70	0		0
63793	1	SIL34_02_01_0174	39	40	Acogona	0		0			L. Agassiz	Nomen. Zool. Index Univ. 1846.—			Nomen. Zool. Index Univ.			1846								Nomen Zool Index Univ	<em>emend. pro</em> Acigona, Hübn. [Nat. XXVII. 1832, 435	Verm.		0	1	Acogona L. Agassiz, Nomen. Zool. Index Univ. 1846.—<em>emend. pro</em> Acigona, Hübn. [Nat. XXVII. 1832, 435.—Verm.	0	60	0		0
64283	1	SIL34_02_01_0183	46	49	aculeata	0	Fasciolaria	0			J. P. S. de Grateloup	Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Turbinelles, pl. 1			Atlas to Conch. foss. tert. Adour			1840-46 [<em>vero propius</em> 1847]	Turbinelles, pl. 1							Atlas to Conch foss tert Adour				1	1	aculeata Fasciolaria, J. P. S. de Grateloup, Atlas to Conch. foss. tert. Adour, 1840-46 [<em>vero propius</em> 1847], Turbinelles, pl. 1.	0	70	0		0
64378	1	SIL34_02_01_0185	38	51	aculeatus	0	Rhamphosus (Bl.)	0			J. L. R. Agassiz	Poiss. Foss. IV. 34 (1835), & 37 (1835)			Poiss. Foss. IV.			(1835)	34			37 (1835)				Poiss Foss		Centriscus.		0	1	aculeatus Rhamphosus (Bl.), J. L. R. Agassiz, Poiss. Foss. IV. 34 (1835), & 37 (1835).—Centriscus.	0	70	0		0
64439	1	SIL34_02_01_0186	51	52	acuminalis	0	Cledeobia	0			Herrich-S.	Syst. Bearb. Schmett. Europ. II (—) 1850-51, 442			Syst. Bearb. Schmett. Europ. II	(—)		1850-51	442							Syst Bearb Schmett Europ				0	1	acuminalis Cledeobia, Herrich-S., Syst. Bearb. Schmett. Europ. II (—) 1850-51, 442.	0	70	0		0
64695	1	SIL34_02_01_0192	4	58	acuminatus	0	Triton	0			L. Reeve	Conch. Icon. II.&#x2014;Triton, no. 54, June 1844.			Conch. Icon. II.—Triton		no. 54	June 1844								Conch Icon II&#x				0	12	acuminatus Triton. L. Reeve, Conch. Icon. II.—Triton, no. 54, June 1844.	0	70	0		0
64795	1	SIL34_02_01_0193	49	59	acuticauda	0	Sterna	0			J. E. Gray	Ill. Indian Zool. I (—) [1830-2] (pl. 70)			Ill. Indian Zool. I	(—)		[1830-2]	(pl. 70)							Ill Indian Zool				0	1	acuticauda Sterna, J. E. Gray, Ill. Indian Zool. I (—) [1830-2] (pl. 70).	0	70	0		0
65283	1	SIL34_02_01_0202	26	68	acutus	0	Reduvius	0			Palisot de B.	Ins. Afr. Amer. (—) 1807, 63			Ins. Afr. Amer.	(—)		1807	63							Ins Afr Amer				0	1	acutus Reduvius, Palisot de B., Ins. Afr. Amer. (—) 1807, 63.	0	70	0		0
65430	1	SIL34_02_01_0205	10	71	adansoni	0	Lucina	0			L. Reeve	Conch. Icon. VI.&#x2014;Lucina, no. 51, June 1850.			Conch. Icon. VI.—Lucina		no. 51	June 1850								Conch Icon VI&#x				0	12	adansoni Lucina, L. Reeve. Conch. Icon. VI.—Lucina, no. 51, June 1850.	0	70	0		0
66404	1	SIL34_02_01_0223	21	89	aello	0	Chionobas (Esp.)	0			J. A. Boisduval	Ic. hist. Lépidopt. Europe, I (—) 1833, 183			Ic. hist. Lépidopt. Europe, I	(—)		1833	183							Ic hist Lépidopt Europe		[Papilio.		1	1	aello Chionobas (Esp.), J. A. Boisduval, Ic. hist. Lépidopt. Europe, I (—) 1833, 183.—[Papilio.	0	70	0		0
66620	1	SIL34_02_01_0227	26	93	aeneus	0	Ablaberoides	0			[E. Blanchard]	Cat. Coll. Ent. Mus. H. N. Paris, Col&#x000E9;opt. I. Oct.			Cat. Coll. Ent. Mus. H. N. Paris, Coléopt. I.			Oct. 1850	102							Cat Coll Ent Mus H N Paris				0	13	aeneus Ablaberoides, [E. Blanchard] Cat. Coll. Ent. Mus. H. N. Paris, Coléopt. I. Oct.	0	70	0		0
66791	1	SIL34_02_01_0230	34	96	aenea	0	Leptosia (D. & S.)	0			Herrich-S.	Syst. Bearb. Schmett. Europ. II (—) 1850-51, [432			Syst. Bearb. Schmett. Europ. II	(—)		1850-51	[432							Syst Bearb Schmett Europ		Noctua, 1788.		1	1	aenea Leptosia (D. & S.), Herrich-S., Syst. Bearb. Schmett. Europ. II (—) 1850-51, [432.—Noctua, 1788.	0	70	0		0
66918	1	SIL34_02_01_0233	2	99	aeneus	0	Tropidolepis (Wiegm.)	0			J. E. Gray in Griffith's Cuvier	Anim. King., Rept. 1830, Syn. 44.—Sclerophorus	Griffith's Cuvier		Anim. King., Rept.			1830	Syn. 44							Anim King		Sclerophorus		1	1	aeneus Tropidolepis (Wiegm.), J. E. Gray in Griffith's Cuvier, Anim. King., Rept. 1830, Syn. 44.—Sclerophorus.[—Musca, 1794.	0	70	0		0
66977	1	SIL34_02_01_0234	9	100	aepar	0	Chela	0			J. E. Gray	Ill. Indian Zool. II (—) [1832-5] (pl. 96)			Ill. Indian Zool. II	(—)		[1832-5]	(pl. 96)							Ill Indian Zool				0	1	aepar Chela, J. E. Gray, Ill. Indian Zool. II (—) [1832-5] (pl. 96).	0	70	0		0
67041	1	SIL34_02_01_0235	18	101	aequalis	0	Melania	0			S. S. Haldeman	Mon. Limniades N. Amer., wrapper of (4) jan. 1842 [3]			Mon. Limniades N. Amer.			wrapper of (4) Jan. 1842	[3]							Mon Limniades N Amer				0	1	aequalis Melania, S. S. Haldeman, Mon. Limniades N. Amer., wrapper of (4) jan. 1842 [3].	0	70	0		0
67460	1	SIL34_02_01_0244	18	110	aescularia	0	Hibernia (D. & S.)	0			Duponchel in J. B. Godart	H. N. Lépid. France, VII (2)	J. B. Godart		H. N. Lépid. France, VII (2) (Noct. 4, pt. 2)			1829	318							H N Lépid France		Geometra, 1775.		0	1	aescularia Hibernia (D. & S.), Duponchel in J. B. Godart, H. N. Lépid. France, VII (2)	0	70	0		0
67714	1	SIL34_02_01_0249	19	115	aethiops	0	Papilio	0			Palisot de B.	Ins. Afr. Amér. (—) 1806, 22			Ins. Afr. Amér.	(—)		1806	22							Ins Afr Amér				0	1	aethiops Papilio, Palisot de B., Ins. Afr. Amér. (—) 1806, 22.	0	70	0		0
67802	1	SIL34_02_01_0250	51	116	afrum	0	Acridium	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 199			Ins. Afr. Amér.	(—)		1813-20	199							Ins Afr Amér				0	1	afrum Acridium, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 199.	0	70	0		0
67831	1	SIL34_02_01_0251	25	117	afra	0	Erebia (God.)	0			J. A. Boisduval	Ic. hist. lepidopt. Europe, I (—) 1833, 170			Ic. hist. lepidopt. Europe, I	(—)		1833	170							Ic hist lepidopt Europe		Satyrus.		0	1	afra Erebia (God.), J. A. Boisduval, Ic. hist. lepidopt. Europe, I (—) 1833, 170.—Satyrus.	0	70	0		0
67839	1	SIL34_02_01_0251	33	117	afra	0	Forficula	0			Palisot de B.	Ins. Afr. Amér. (—) 1806, 35			Ins. Afr. Amér.	(—)		1806	35							Ins Afr Amér				0	1	afra Forficula, Palisot de B., Ins. Afr. Amér. (—) 1806, 35.	0	70	0		0
67865	1	SIL34_02_01_0252	6	118	afra	0	Nitidula	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 161			Ins. Afr. Amér.	(—)		1813-20	161							Ins Afr Amér				0	1	afra Nitidula, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 161.	0	70	0		0
67945	1	SIL34_02_01_0253	33	119	affinis	0	Anculosa	0	Mudalia		S. S. Haldeman	Mon. Limniades N. Amer., wrapper of (3) July 1841 [3]			Mon. Limniades N. Amer.			wrapper of (3) July 1841	[3]							Mon Limniades N Amer				1	1	affinis Anculosa (Mudalia), S. S. Haldeman, Mon. Limniades N. Amer., wrapper of (3) July 1841 [3].	0	70	0		0
68098	1	SIL34_02_01_0256	22	122	affinis	0	Clupea	0			J. E. Gray	Ill. Indian Zool. I (—) [1830-2] (pl. 96)			Ill. Indian Zool. I	(—)		[1830-2]	(pl. 96)							Ill Indian Zool				0	1	affinis Clupea, J. E. Gray, Ill. Indian Zool. I (—) [1830-2] (pl. 96).	0	70	0		0
68151	1	SIL34_02_01_0257	20	123	affinis	0	Cypselus	0			J. E. Gray	Ill. Indian Zool. I (—) [1830-2] (pl. 35)			Ill. Indian Zool. I	(—)		[1830-2]	(pl. 35)							Ill Indian Zool				0	1	affinis Cypselus, J. E. Gray, Ill. Indian Zool. I (—) [1830-2] (pl. 35).	0	70	0		0
68224	1	SIL34_02_01_0258	37	124	affinis	0	Felis	0			J. E. Gray	Ill. Indian Zool. I (—) [1830-2] (pl. 3)			Ill. Indian Zool. I	(—)		[1830-2]	(pl. 3)							Ill Indian Zool				0	1	affinis Felis, J. E. Gray, Ill. Indian Zool. I (—) [1830-2] (pl. 3).	0	70	0		0
68349	1	SIL34_02_01_0261	1	127	affinis	0	Locusta	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 219			Ins. Afr. Amér.	(—)		1813-20	219							Ins Afr Amér				0	1	affinis Locusta, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 219.	0	70	0		0
68477	1	SIL34_02_02_0003	24	129	affinis	0	Paromalus	0			J. Le Conte	Proc. Boston Soc. N. H. I (—) 184-, 186 ; Boston Journ. N. H. V (1) 1845, 67			Proc. Boston Soc. N. H. I	(—)		184-	186			Boston Journ. N. H. V (1) 1845, 67				Proc Boston Soc N H				1	2	affinis Paromalus, J. Le Conte, Proc. Boston Soc. N. H. I (—) 184-, 186 ; Boston Journ. N. H. V (1) 1845, 67.	0	70	0		0
68763	1	SIL34_02_02_0008	32	134	africana	0	Æshna	0			Palisot de B.	Ins. Afr. Amér. (—) 1807, 67			Ins. Afr. Amér.	(—)		1807	67							Ins Afr Amér				0	1	africana Æshna, Palisot de B., Ins. Afr. Amér. (—) 1807, 67.	0	70	0		0
68795	1	SIL34_02_02_0009	11	135	africana	0	Cicada	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-, 132			Ins. Afr. Amér.	(—)		1813-	132							Ins Afr Amér				0	1	africana Cicada, Palisot de B., Ins. Afr. Amér. (—) 1813-, 132.	0	70	0		0
68827	1	SIL34_02_02_0009	43	135	africana	0	Fulgora	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 168			Ins. Afr. Amér.	(—)		1813-20	168							Ins Afr Amér				0	1	africana Fulgora, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 168.	0	70	0		0
68832	1	SIL34_02_02_0009	48	135	africana	0	Gryllo-talpa	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 229			Ins. Afr. Amér.	(—)		1813-20	229							Ins Afr Amér				0	1	africana Gryllo-talpa, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 229.	0	70	0		0
68838	1	SIL34_02_02_0010	2	136	africanus	0	Heteropus	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 230			Ins. Afr. Amér.	(—)		1813-20	230							Ins Afr Amér				0	1	africanus Heteropus, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 230.	0	70	0		0
68895	1	SIL34_02_02_0011	6	137	africana	0	Polistes	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 207			Ins. Afr. Amér.	(—)		1813-20	207							Ins Afr Amér				0	1	africana Polistes, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 207.	0	70	0		0
68910	1	SIL34_02_02_0011	21	137	africanum	0	Sphaeridium	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 159			Ins. Afr. Amér.	(—)		1813-20	159							Ins Afr Amér				0	1	africanum Sphaeridium, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 159.	0	70	0		0
69098	1	SIL34_02_02_0136	39	262	americanum	0	Sinodendron	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 192			Ins. Afr. Amér.	(—)		1813-20	192							Ins Afr Amér				0	1	americanum Sinodendron, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 192.	0	70	0		0
69120	1	SIL34_02_02_0137	42	263	americanus	0	Tabanus	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 222			Ins. Afr. Amér.	(—)		1813-20	222							Ins Afr Amér				0	1	americanus Tabanus, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 222.	0	70	0		0
69225	1	SIL34_02_02_0041	37	167	albiceraria	0	Acidalia	0			Herrich-S.	Syst. Bearb. Schmett. Europ. III (—) 1847, 23			Syst. Bearb. Schmett. Europ. III	(—)		1847	23							Syst Bearb Schmett Europ				0	1	albiceraria Acidalia, Herrich-S., Syst. Bearb. Schmett. Europ. III (—) 1847, 23.	0	70	0		0
70317	1	SIL34_02_02_0026	15	152	Agromenia	0		0			L. Agassiz	Nomen. Zool. Index Univ. 1846.—			Nomen. Zool. Index Univ.			1846								Nomen Zool Index Univ	<em>emend. pro</em> Agrumenia, Hübn.	Musca.		1	1	Agromenia L. Agassiz, Nomen. Zool. Index Univ. 1846.—<em>emend. pro</em> Agrumenia, Hübn. [—Musca.	0	60	0		0
71239	1	SIL34_02_02_0044	20	170	albicornis	0	Copris	0			Palisot de B.	Ins. Afr. Amér. (—) 1806, 25			Ins. Afr. Amér.	(—)		1806	25							Ins Afr Amér				0	1	albicornis Copris, Palisot de B., Ins. Afr. Amér. (—) 1806, 25.	0	70	0		0
71291	1	SIL34_02_02_0045	17	171	albidentaria	0	Pericyma (Fr.)	0			Herrich-S.	Syst. Bearb. Schmett. Europ. II (—) 1850-51, 429			Syst. Bearb. Schmett. Europ. II	(—)		1850-51	429							Syst Bearb Schmett Europ		Acidalia.		1	1	albidentaria Pericyma (Fr.), Herrich-S., Syst. Bearb. Schmett. Europ. II (—) 1850-51, 429.—Acidalia.	0	70	0		0
71670	1	SIL34_02_02_0052	24	178	albimaculatus	0	Gobius	0			E. Rueppell in Atlas zu Rueppell	Reise (Senckenb. Nat. Ges.) Fische (—) 1830 or 1831, 135	Atlas zu Rueppell		Reise (Senckenb. Nat. Ges.) Fische	(—)		1830 or 1831	135							Reise				1	1	albimaculatus Gobius, E. Rueppell in Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Fische (—) 1830 or 1831, 135.	0	70	0		0
72108	1	SIL34_02_02_0061	41	187	albiventer	0	Changulia	0			J. E. Gray	Ill. Indian Zool. II (—) [1832-5], (pl. 86)			Ill. Indian Zool. II	(—)		[1832-5]	(pl. 86)							Ill Indian Zool				0	1	albiventer Changulia, J. E. Gray, Ill. Indian Zool. II (—) [1832-5], (pl. 86).	0	70	0		0
72154	1	SIL34_02_02_0062	32	188	albiventer	0	Pteromys	0			J. E. Gray	Ill. Indian Zool. II (—) [1832-5] (pl. 18)			Ill. Indian Zool. II	(—)		[1832-5]	(pl. 18)							Ill Indian Zool				0	1	albiventer Pteromys, J. E. Gray, Ill. Indian Zool. II (—) [1832-5] (pl. 18).	0	70	0		0
72415	1	SIL34_02_02_0067	42	193	albolimbata	0	Doris	0			E. Rueppell & Leuckart in Atlas zu Rueppell	Reise (Senckenb. Nat. Ges.) Wirbellose Thiere (—) 1830 or 1831, 30	Atlas zu Rueppell		Reise (Senckenb. Nat. Ges.) Wirbellose Thiere	(—)		1830 or 1831	30							Reise				1	1	albolimbata Doris, E. Rueppell & Leuckart in Atlas zu Rueppell, Reise (Senckenb. Nat. Ges.) Wirbellose Thiere (—) 1830 or 1831, 30.	0	70	0		0
72557	1	SIL34_02_02_0071	33	197	albopunctata	0	Pentatoma	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 130			Ins. Afr. Amér.	(—)		1813	130							Ins Afr Amér				0	1	albopunctata Pentatoma, Palisot de B., Ins. Afr. Amér. (—) 1813, 130.	0	70	0		0
72760	1	SIL34_02_02_0075	27	201	albus	0	Astur (Shaw)	0			Jardine & Selby	Ill. Orn., sign. A, pl. 1, 1826.&#x2014;Falco, 1790.			Ill. Orn.			1826	sign. A, pl. 1							Ill Orn		Falco, 1790.		0	12	albus Astur (Shaw). Jardine & Selby, Ill. Orn., sign. A, pl. 1, 1826.—Falco, 1790.	0	70	0		0
72790	1	SIL34_02_02_0076	4	202	alba	0	Columba	0			C. J. Temminck in Knip	Les Pigeons, II (—) 1811, 102	Knip		Les Pigeons, II	(—)		1811	102							Les Pigeons				0	1	alba Columba, C. J. Temminck in Knip, Les Pigeons, II (—) 1811, 102.	0	70	0		0
73066	1	SIL34_02_02_0081	10	207	alcon	0	Papilio	0			J. Huebner	Europ. Schmett., Tab. Papilio, 55 ; (Fernaldo judice 1799)			Europ. Schmett., Tab. Papilio			(Fernaldo judice 1799)	55	[<em>n. et f.</em>]						Europ Schmett				1	2	alcon Papilio, J. Huebner, Europ. Schmett., Tab. Papilio, 55 ; (Fernaldo judice 1799) [<em>n. et f.</em>]	0	70	0		0
73191	1	SIL34_02_02_0083	28	209	alecto	0	Erebia (Ochs.)	0			J. A. Boisduval	Ic. hist. lépidopt. Europe, I (—) 1833, 160			Ic. hist. lépidopt. Europe, I	(—)		1833	160							Ic hist lépidopt Europe		[Papilio, ? Huebn.		1	1	alecto Erebia (Ochs.), J. A. Boisduval, Ic. hist. lépidopt. Europe, I (—) 1833, 160.—[Papilio, ? Huebn.	0	70	0		0
73217	1	SIL34_02_02_0083	54	209	alector	0	Pauxi (L.)	0			C. J. Temminck	Man. Orn., ed. 2, I. Oct. 1820, p. xciii.&#x2014;Crax, 1766.			Man. Orn., ed. 2, I.			Oct. 1820	p. xciii.							Man Orn		Crax, 1766.		0	12	alector Pauxi (L.). C. J. Temminck, Man. Orn., ed. 2, I. Oct. 1820, p. xciii.—Crax, 1766.	0	70	0		0
73631	1	SIL34_02_02_0091	30	217	allemanica	0	Pangonia	0			Labram & Imhoff	Insekt. d. Schweiz, I (—) 1835-6			Insekt. d. Schweiz, I	(—)		1835-6								Insekt d Schweiz				0	1	allemanica Pangonia, Labram & Imhoff, Insekt. d. Schweiz, I (—) 1835-6.	0	70	0		0
74176	1	SIL34_02_02_0102	46	228	also	0	Chionobas	0			J. A. Boisduval	Ic. hist. lépidopt. Europe, I (—) 1833, 197			Ic. hist. lépidopt. Europe, I	(—)		1833	197							Ic hist lépidopt Europe				0	1	also Chionobas, J. A. Boisduval, Ic. hist. lépidopt. Europe, I (—) 1833, 197.	0	70	0		0
75483	1	SIL34_02_02_0128	9	254	amboinensis	0	Balistes	0			J. E. Gray	Ill. Indian Zool. I (—) [1830-2], (pl. 90)			Ill. Indian Zool. I	(—)		[1830-2]	(pl. 90)							Ill Indian Zool				0	1	amboinensis Balistes, J. E. Gray, Ill. Indian Zool. I (—) [1830-2], (pl. 90).	0	70	0		0
75633	1	SIL34_02_02_0131	9	257	americae borealis	0	Julus	0			Palisot de E.	Ins. Afr. Amér. (—) 1813-20, 155			Ins. Afr. Amér.	(—)		1813-20	155							Ins Afr Amér				0	9	americae borealis Julus, Palisot de E., Ins. Afr. Amér. (—) 1813-20, 155.	0		0		0
75755	1	SIL34_02_02_0133	29	259	americana	0	Forficula	0			Palisot de B.	Ins. Afr. Amér. (—) 1813-20, 165			Ins. Afr. Amér.	(—)		1813-20	165							Ins Afr Amér				0	1	americana Forficula, Palisot de B., Ins. Afr. Amér. (—) 1813-20, 165.	0	70	0		0
75775	1	SIL34_02_02_0133	49	259	americanus	0	Helops	0			Palisot de B.	Ins. Afr. Amér. (—) 1813, 122			Ins. Afr. Amér.	(—)		1813	122							Ins Afr Amér				0	1	americanus Helops, Palisot de B., Ins. Afr. Amér. (—) 1813, 122.	0	70	0		0
75891	1	SIL34_02_02_0136	9	262	americanus	0	Pompilus	0			Palisot de B.	Ins. Afr. Amér. (—) 1812, 117			Ins. Afr. Amér.	(—)		1812	117							Ins Afr Amér				0	1	americanus Pompilus, Palisot de B., Ins. Afr. Amér. (—) 1812, 117.	0	70	0		0
75897	1	SIL34_02_02_0137	1	263	americanus	0	Tribalus	0			J. Le Conte	Proc. Boston Soc. N. H. I (—) 184-, 186 ; Boston [Journ. N. H. V (1) 1845, 64			Proc. Boston Soc. N. H. I	(—)		184-	186			Boston [Journ. N. H. V (1) 1845, 64				Proc Boston Soc N H				1	2	americanus Tribalus, J. Le Conte, Proc. Boston Soc. N. H. I (—) 184-, 186 ; Boston [Journ. N. H. V (1) 1845, 64.	0	70	0		0
76553	1	SIL34_02_02_0151	5	277	amphinome	0	Hamadryas	0			J. Huebner	Exot. Schmett. Tab. Hamadryas, 1806			Exot. Schmett. Tab. Hamadryas			1806		[<em>n. et f.</em>]						Exot Schmett Tab Hamadryas				0	1	amphinome Hamadryas, J. Huebner, Exot. Schmett. Tab. Hamadryas, 1806 [<em>n. et f.</em>].	0	70	0		0
76784	1	SIL34_02_02_0155	22	281	ampla	0	Limnea	0			J. W. Mighels	Proc. Boston Soc. N. H. I (—) 184-, 129 ; Boston Journ. N. H. IV (3) 1843, 337 & 347			Proc. Boston Soc. N. H. I	(—)		184-	129			Boston Journ. N. H. IV (3) 1843, 337 & 347				Proc Boston Soc N H				1	2	ampla Limnea, J. W. Mighels, Proc. Boston Soc. N. H. I (—) 184-, 129 ; Boston Journ. N. H. IV (3) 1843, 337 & 347.	0	70	0		0
